hi
The program mdatom performs a MD-run for a collection of atoms, using:
  1. Data characterizing the md-run
  2. Atomic coordinates and velocities


Data characterizing the MD-run:
# Title
Test 6, 1000 atoms
#                 NumberAtoms                 AtomicMass                     MDType
                           10                          1                          0
#                  BoxSize(x)                 BoxSize(y)                 BoxSize(z)
                          100                        100                        100
#               NumberMDSteps                InitialTime                   TimeStep
                         1000                          0                     0.0005
#          InitialTemperature          TargetTemperature    TemperatureCouplingTime
                          100                        100                        0.1
#                  RandomSeed
                     10021988
#            XVInitialization  CoordInitializationSpread              FinalXVOutput
                            1                          0                          1
#          NAtomsOnBoxEdge(x)         NAtomsOnBoxEdge(y)         NAtomsOnBoxEdge(z)
                           10                         10                         10
#                   EpsilonLJ                    SigmaLJ    InteractionCutoffRadius
                       0.4577                     0.1908                        2.5
#    PropertyPrintingInterval    NumberRadialDistrPoints    RadialDistrCutoffRadius
                            1                        100                        2.5
#            TrajectoryOutput     TrajectoryOutputFormat   TrajectoryOutputInterval
                            0                          2                          5


Atomic coordinates and velocities:

coordinates of the elements of a chain
 The velocities are taken from a Maxwellian distribution.
no of bonds: 9
 The initial temperature is: 145.562


Starting MD iterations...

           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T
            176          0.088        87.7578        18.3883        69.3694        168.469   -0.000100054              1
            177         0.0885        87.8506         19.029        68.8216        148.371   -8.62279e-05              1
            178          0.089        88.0013        18.6935        69.3077        117.679   -6.59901e-05              1
            179         0.0895        88.1969         17.617        70.5799        79.5256   -4.12724e-05              1
            180           0.09        88.3993        16.5479        71.8514        37.5261   -1.39854e-05              1
            181         0.0905        88.5691        16.2297        72.3395       -4.57033    1.38667e-05              1
            182          0.091        88.6916        16.8738        71.8178       -43.2343     4.0072e-05              1
            183         0.0915        88.7863        17.9966        70.7897       -75.4763    6.23153e-05              1
            184          0.092        88.8923        18.7483         70.144        -99.068    7.85442e-05              1
            185         0.0925        89.0385        18.5092        70.5293        -112.65    8.74393e-05              1
            186          0.093        89.2228        17.3317         71.891       -115.743    8.87162e-05              1
            187         0.0935        89.4119        15.9131        73.4988       -108.683    8.30641e-05              1
            188          0.094        89.5652        15.1165        74.4487       -92.5189    7.17569e-05              1
            189         0.0945        89.6628        15.3811        74.2817       -68.8942    5.61835e-05              1
            190          0.095        89.7185        16.4371        73.2814       -39.9087    3.75639e-05              1
            191         0.0955        89.7681        17.5191         72.249       -7.92809    1.69648e-05              1
            192          0.096        89.8418        17.9054        71.9364         24.621    -4.4771e-06              1
            193         0.0965        89.9431        17.3929        72.5502        55.4203   -2.53516e-05              1
            194          0.097        90.0471        16.3852         73.662        82.3858   -4.40004e-05              1
            195         0.0975         90.119        15.5618        74.5572        103.774   -5.88081e-05              1
            196          0.098        90.1386        15.3878        74.7507        118.283   -6.85969e-05              1
            197         0.0985        90.1137        15.8143        74.2994         125.15   -7.28902e-05              1
            198          0.099        90.0738        16.3668         73.707        124.217      -7.19e-05              1
            199         0.0995        90.0489        16.5311        73.5179        115.945   -6.62762e-05              1
            200            0.1          90.05        16.1404        73.9096        101.347   -5.68046e-05              1


   Total mass                       :                 10
   Coordinates of the center of mass:             50.362        49.9834        50.0984
   Velocity of the center of mass   :          -0.347136      -0.166299       0.362501
   Translational kinetic energy     :            1.39783


           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T

            201         0.1005        90.0637        15.4854        74.5783        81.8715   -4.42574e-05              1
            202          0.101        90.0644        15.0805        74.9839        59.2772   -2.94645e-05              1
            203         0.1015        90.0345        15.2745          74.76        35.5098   -1.34902e-05              1
            204          0.102        89.9762        15.9974        73.9788        12.5645    2.28859e-06              1
            205         0.1025        89.9074        16.8197        73.0877       -7.70196    1.63478e-05              1
            206          0.103        89.8459        17.2663        72.5795       -23.8063    2.73818e-05              1
            207         0.1035        89.7942        17.1476        72.6466       -34.8327    3.46535e-05              1
            208          0.104        89.7355        16.6695         73.066       -40.5039    3.81156e-05              1
            209         0.1045        89.6441         16.254        73.3901       -41.1457    3.82665e-05              1
            210          0.105        89.5035        16.2138        73.2897       -37.6122     3.5884e-05              1
            211         0.1055        89.3182        16.5315        72.7867       -31.1981    3.18198e-05              1
            212          0.106        89.1098        16.9042        72.2057       -23.5045    2.69391e-05              1
            213         0.1065        88.9028         17.011        71.8917       -16.2203    2.21543e-05              1
            214          0.107        88.7079        16.7912        71.9168       -10.8308    1.84146e-05              1
            215         0.1075        88.5182        16.5133         72.005       -8.31748    1.65538e-05              1
            216          0.108        88.3177        16.5775        71.7403       -8.94688    1.70162e-05              1
            217         0.1085        88.0981        17.1924        70.9057       -12.2002    1.95951e-05              1
            218          0.109        87.8697        18.1733        69.6964       -16.8424    2.33438e-05              1
            219         0.1095        87.6577        19.0214        68.6363       -21.1139    2.67568e-05              1
            220           0.11        87.4875        19.2436        68.2439       -23.0244    2.81787e-05              1
            221         0.1105        87.3679        18.6973        68.6706        -20.698    2.62635e-05              1
            222          0.111        87.2843         17.716        69.5683       -12.6979    2.02759e-05              1
            223         0.1115        87.2066         16.914        70.2926        1.69085    1.01488e-05              1
            224          0.112        87.1089        16.7857        70.3231        22.2371   -3.63425e-06              1
            225         0.1125        86.9863        17.3784        69.6079        47.6664    -2.0192e-05              1
            226          0.113        86.8566        18.2704        68.5862        75.7645   -3.83294e-05              1
            227         0.1135        86.7456        18.8711        67.8745        103.655   -5.65224e-05              1
            228          0.114        86.6685        18.8263        67.8422        128.145   -7.28794e-05              1
            229         0.1145        86.6212        18.2465        68.3747        146.079   -8.52219e-05              1
            230          0.115        86.5873        17.6104        68.9769        154.698    -9.1392e-05              1
            231         0.1155        86.5559        17.4252        69.1307        152.061   -8.97569e-05              1
