hi
The program mdatom performs a MD-run for a collection of atoms, using:
  1. Data characterizing the md-run
  2. Atomic coordinates and velocities


Data characterizing the MD-run:
# Title
Test 6, 1000 atoms
#                 NumberAtoms                 AtomicMass                     MDType
                           10                          1                          0
#                  BoxSize(x)                 BoxSize(y)                 BoxSize(z)
                          100                        100                        100
#               NumberMDSteps                InitialTime                   TimeStep
                         1000                          0                     0.0005
#          InitialTemperature          TargetTemperature    TemperatureCouplingTime
                          100                        100                        0.1
#                  RandomSeed
                     10021988
#            XVInitialization  CoordInitializationSpread              FinalXVOutput
                            1                          0                          1
#          NAtomsOnBoxEdge(x)         NAtomsOnBoxEdge(y)         NAtomsOnBoxEdge(z)
                           10                         10                         10
#                   EpsilonLJ                    SigmaLJ    InteractionCutoffRadius
                       0.4577                     0.1908                        2.5
#    PropertyPrintingInterval    NumberRadialDistrPoints    RadialDistrCutoffRadius
                            1                        100                        2.5
#            TrajectoryOutput     TrajectoryOutputFormat   TrajectoryOutputInterval
                            0                          2                          5


Atomic coordinates and velocities:

coordinates of the elements of a chain
 The velocities are taken from a Maxwellian distribution.
no of bonds: 9
 The initial temperature is: 145.562


Starting MD iterations...

           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T
            124          0.062        719.565        646.568        72.9975        1.15746    0.000430273              1
            125         0.0625         719.73        646.699        73.0305        1.14615    0.000430369              1
            126          0.063        719.896        646.627        73.2685        1.13477    0.000430328              1
            127         0.0635        720.062        646.365        73.6978        1.12323    0.000430161              1
            128          0.064        720.227        645.929        74.2983        1.11145    0.000429878              1
            129         0.0645         720.39        645.344         75.045        1.09936    0.000429497              1
            130          0.065        720.547        644.639        75.9083        1.08689    0.000429035              1
            131         0.0655        720.699        643.844        76.8554          1.074    0.000428513              1
            132          0.066        720.844        642.992        77.8519        1.06064    0.000427954              1
            133         0.0665        720.979        642.117        78.8624         1.0468     0.00042738              1
            134          0.067        721.105        641.253        79.8526        1.03245    0.000426813              1
            135         0.0675         721.22         640.43        80.7899        1.01757    0.000426275              1
            136          0.068        721.322        639.678        81.6447        1.00217    0.000425784              1
            137         0.0685        721.412        639.021        82.3914       0.986245    0.000425356              1
            138          0.069        721.489         638.48        83.0088       0.969813    0.000425007              1
            139         0.0695        721.552         638.07        83.4813       0.952889    0.000424745              1
            140           0.07        721.601        637.802        83.7984       0.935495    0.000424578              1
            141         0.0705        721.636         637.68        83.9554       0.917657    0.000424508              1
            142          0.071        721.657        637.704         83.953       0.899407    0.000424537              1
            143         0.0715        721.665        637.869        83.7969       0.880781    0.000424658              1
